Select,Column,QuestionText
1,LanguageDesireNextYear,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
1,DatabaseWorkedWith,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
1,DatabaseDesireNextYear,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
1,PlatformWorkedWith,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)"
1,PlatformDesireNextYear,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)"
1,WebFrameWorkedWith,"Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
1,WebFrameDesireNextYear,"Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
1,MiscTechWorkedWith,"Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
1,MiscTechDesireNextYear,"Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
1,DevEnviron,Which development environment(s) do you use regularly?  Please check all that apply.
1,OpSys,What is the primary operating system in which you work?
1,Containers,"How do you use containers (Docker, Open Container Initiative (OCI), etc.)?"
1,BlockchainOrg,How is your organization thinking about or implementing blockchain technology?
1,BlockchainIs,Blockchain / cryptocurrency technology is primarily:
1,BetterLife,Do you think people born today will have a better life than their parents?
0,ITperson,"Are you the ""IT support person"" for your family?"
0,OffOn,Have you tried turning it off and on again?
1,SocialMedia,What social media site do you use the most?
0,Extraversion,Do you prefer online chat or IRL conversations?
0,ScreenName,What do you call it?
0,SOVisit1st,"To the best of your memory, when did you first visit Stack Overflow?"
1,SOVisitFreq,How frequently would you say you visit Stack Overflow?
0,SOVisitTo,I visit Stack Overflow to... (check all that apply)
0,SOFindAnswer,"On average, how many times a week do you find (and use) an answer on Stack Overflow?"
0,SOTimeSaved,"Think back to the last time you solved a coding problem using Stack Overflow, as well as the last time you solved a problem using a different resource. Which was faster?"
1,SOHowMuchTime,"About how much time did you save? If you're not sure, please use your best estimate."
0,SOAccount,Do you have a Stack Overflow account?
1,SOPartFreq,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
0,SOJobs,Have you ever used or visited Stack Overflow Jobs?
0,EntTeams,Have you ever used Stack Overflow for Enterprise or Stack Overflow for Teams?
0,SOComm,Do you consider yourself a member of the Stack Overflow community?
0,WelcomeChange,"Compared to last year, how welcome do you feel on Stack Overflow?"
1,SONewContent,Would you like to see any of the following on Stack Overflow? Check all that apply.
1,Age,"What is your age (in years)? If you prefer not to answer, you may leave this question blank."
1,Gender,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
1,Trans,Do you identify as transgender?
1,Sexuality,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
0,Ethnicity,"Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank."
0,Dependents,"Do you have any dependents (e.g., children, elders, or others) that you care for?"
0,SurveyLength,How do you feel about the length of the survey this year?
0,SurveyEase,How easy or difficult was this survey to complete?
